,date,tmin
1,01/01/1968,0.022156458
2,02/01/1968,0.093133646
3,03/01/1968,0.396144432
4,04/01/1968,-4.806693684
5,05/01/1968,-2.622130153
6,06/01/1968,-0.967321662
7,07/01/1968,-1.567546431
8,08/01/1968,-4.658857977
9,09/01/1968,-2.385676563
10,10/01/1968,-5.333178942
11,11/01/1968,-1.996076146
12,12/01/1968,-2.889617525
13,13/01/1968,-0.959434913
14,14/01/1968,2.892035824
15,15/01/1968,3.273459531
16,16/01/1968,3.273469675
17,17/01/1968,2.686124139
18,18/01/1968,4.129593483
19,19/01/1968,7.648246637
20,20/01/1968,6.395489038
21,21/01/1968,4.714671636
22,22/01/1968,0.220177337
23,23/01/1968,0.159925807
24,24/01/1968,3.510536193
25,25/01/1968,4.965011836
26,26/01/1968,6.465406606
27,27/01/1968,6.136503891
28,28/01/1968,1.172945342
29,29/01/1968,3.333743289
30,30/01/1968,7.200868729
31,31/01/1968,2.771739724
32,01/02/1968,1.813963356
33,02/02/1968,0.411209059
34,03/02/1968,-2.032020609
35,04/02/1968,-1.867832461
36,05/02/1968,-1.107830783
37,06/02/1968,-0.833917793
38,07/02/1968,0.24544143
39,08/02/1968,1.231962201
40,09/02/1968,1.194849822
41,10/02/1968,1.726303143
42,11/02/1968,1.820614653
43,12/02/1968,0.881316139
44,13/02/1968,0.512432418
45,14/02/1968,-1.413352785
46,15/02/1968,-3.081321417
47,16/02/1968,-4.199045457
48,17/02/1968,-4.76746595
49,18/02/1968,-3.860268625
50,19/02/1968,-1.861661738
51,20/02/1968,-0.500769003
52,21/02/1968,-4.782329124
53,22/02/1968,-5.1425115
54,23/02/1968,-5.368404214
55,24/02/1968,-3.207509903
56,25/02/1968,-0.309289982
57,26/02/1968,-4.925525016
58,27/02/1968,-3.336295957
59,28/02/1968,-0.931830673
60,29/02/1968,-0.125700685
61,01/03/1968,-0.164174996
62,02/03/1968,-0.37272248
63,03/03/1968,-0.771138869
64,04/03/1968,1.658142555
65,05/03/1968,6.944977896
66,06/03/1968,3.392862852
67,07/03/1968,-2.109046693
68,08/03/1968,0.678550704
69,09/03/1968,1.803621991
70,10/03/1968,5.304677622
71,11/03/1968,5.911213173
72,12/03/1968,3.06414202
73,13/03/1968,5.624845554
74,14/03/1968,-0.569366328
75,15/03/1968,0.232606081
76,16/03/1968,-1.118700722
77,17/03/1968,0.652498273
78,18/03/1968,1.72391127
79,19/03/1968,1.617160215
80,20/03/1968,1.884760877
81,21/03/1968,-1.431302789
82,22/03/1968,-0.018574257
83,23/03/1968,1.086481031
84,24/03/1968,2.496283887
85,25/03/1968,1.973882568
86,26/03/1968,5.148092282
87,27/03/1968,5.460560272
88,28/03/1968,7.680879824
89,29/03/1968,3.422582865
90,30/03/1968,0.702117617
91,31/03/1968,1.558090969
92,01/04/1968,0.756610276
93,02/04/1968,-4.700351036
94,03/04/1968,-3.043375219
95,04/04/1968,-0.700223853
96,05/04/1968,-1.034175996
97,06/04/1968,-0.703764358
98,07/04/1968,-3.731794749
99,08/04/1968,-3.485252304
100,09/04/1968,2.503981281
101,10/04/1968,1.118303296
102,11/04/1968,2.063067601
103,12/04/1968,-0.661606187
104,13/04/1968,-0.956805405
105,14/04/1968,-0.010087892
106,15/04/1968,2.20311669
107,16/04/1968,5.235488667
108,17/04/1968,6.659172956
109,18/04/1968,7.717564207
110,19/04/1968,7.198962808
111,20/04/1968,7.299978273
112,21/04/1968,7.238125091
113,22/04/1968,7.798092716
