"","Year","Gen"
"1",1968,0
"2",1969,0
"3",1970,0
"4",1971,0
"5",1974,0
"6",1975,0
"7",1976,1
"8",1977,0
"9",1978,0
"10",1979,0
"11",1980,0
"12",1981,0
"13",1982,1
"14",1983,1
"15",1984,1
"16",1985,0
"17",1986,1
"18",1987,0
"19",1988,0
"20",1989,0
"21",1990,0
"22",1991,0
"23",1992,0
"24",1994,0
"25",1995,0
"26",1998,0
"27",1999,1
"28",2000,0
"29",2001,1
"30",2002,0
"31",2003,1
"32",2004,1
"33",2005,1
"34",2006,1
"35",2007,1
"36",2008,1
"37",2009,1
"38",2010,1
"39",2011,1
"40",2012,1
"41",2013,1
"42",2014,1
"43",2015,1
"44",2016,1
"45",2018,1
"46",2019,1
"47",2020,1
"48",2021,1
"49",2022,1
"50",2023,1
"51",2024,1
