"","namestmax","r2","es"
"52","w_5_146",0.115006305375454,0.283361878412571
"359","w_6_145.5",0.108892066793524,0.279697128571548
"51","w_5_145",0.106097227361075,0.273089547781365
"1134","w_8_292.5",0.0999752773942003,0.263991203111339
"212","w_5_291",0.0995477919279987,0.221605746587967
"520","w_6_291.5",0.0989742428163096,0.233535769030313
"360","w_6_146.5",0.0987952951685186,0.261784215897049
"213","w_5_292",0.0973576774661927,0.226799448733889
"829","w_7_293",0.0968035701646816,0.255179251695611
"667","w_7_146",0.0959122904217327,0.261279184807718
"53","w_5_147",0.0941069084535018,0.241544729581973
"828","w_7_292",0.0927435258465823,0.234705276088881
"1440","w_9_293",0.092663320456762,0.254916446681627
"1744","w_10_293.5",0.091053105396099,0.258507725617676
"666","w_7_145",0.0897447477987389,0.245813516560446
"521","w_6_292.5",0.0894155886613922,0.225344317537018
"1135","w_8_293.5",0.088462245088698,0.243513937234192
"1441","w_9_294",0.0868584729143781,0.2473375337869
"358","w_6_144.5",0.0840916795250987,0.232082598134234
"1439","w_9_292",0.0839096147194798,0.230432256460336
"88","w_5_179",0.0835437352609891,0.200450482593018
"522","w_6_293.5",0.0834172219022719,0.234083232588486
"228","w_5_305",0.0824429515285221,0.172719528691244
"973","w_8_146.5",0.0818630182201653,0.234775650640674
"668","w_7_147",0.0818442545200952,0.229889005534455
"972","w_8_145.5",0.0813546685356222,0.233079969964843
"4440","w_19_298",0.0811910984479194,0.22540606789851
"971","w_8_144.5",0.0805058581094406,0.23284397325962
"827","w_7_291",0.0804244456260715,0.200571960039001
"2048","w_11_294",0.0799851554335648,0.235998432422616
"395","w_6_178.5",0.0797754998807444,0.193938206674649
"87","w_5_178",0.0797183143320388,0.188382051369831
"7890","w_31_292",0.0795376577556918,0.246304070162429
"1743","w_10_292.5",0.0794449859568133,0.225742498188205
"3550","w_16_296.5",0.0794204418479619,0.2270400591715
"3848","w_17_297",0.0793483827555425,0.225002751757003
"8171","w_32_291.5",0.0792265797217615,0.249241335674021
"506","w_6_279.5",0.0791575508640566,0.178683662226774
"2047","w_11_293",0.07915124707187,0.23095471730183
"50","w_5_144",0.0787261558063936,0.209545318529233
"4734","w_20_298.5",0.0786746290353417,0.220319167960281
"519","w_6_290.5",0.0786616622408677,0.187386123440703
"396","w_6_179.5",0.078570226331424,0.196122036687109
"4144","w_18_297.5",0.0783310427821671,0.220403164836663
"4145","w_18_298.5",0.0780110645570945,0.215269065798831
"8172","w_32_292.5",0.0779414493016256,0.242104557122877
"7323","w_29_291",0.0778705938963317,0.245444547522256
"2350","w_12_294.5",0.0777482223044601,0.228656024364959
"8452","w_33_292",0.0776645565069835,0.244951404225122
