"","namestmean","r2","es"
"5306","w_22_287.5",0.154527004986317,0.697663047527557
"1744","w_10_293.5",0.153574219663314,0.624864968787343
"5597","w_23_288",0.152882999720405,0.697919647028897
"524","w_6_295.5",0.152164060766877,0.600735001074025
"5887","w_24_288.5",0.151856545095858,0.699113812516169
"5596","w_23_287",0.151255973154043,0.698417091415618
"1136","w_8_294.5",0.150487530146011,0.603749739455453
"5886","w_24_287.5",0.150100722639707,0.699965804713477
"6175","w_25_288",0.14952651076997,0.702601430859909
"1441","w_9_294",0.149484495639488,0.597437430434968
"7323","w_29_291",0.149102417826666,0.695692334396822
"7606","w_30_290.5",0.148697624292719,0.706764079435074
"7607","w_30_291.5",0.148460863863203,0.692518706384119
"7889","w_31_291",0.148379207278849,0.704959290768721
"5885","w_24_286.5",0.147891804931271,0.698436027924502
"6176","w_25_289",0.147800960703421,0.689467414495576
"2048","w_11_294",0.147263279960682,0.6134153788372
"7038","w_28_290.5",0.147177964190841,0.691218980026011
"5015","w_21_288",0.147119817124021,0.672210593514141
"7888","w_31_290",0.147042335665679,0.710940470546949
"6174","w_25_287",0.147031485637757,0.700438018888246
"8170","w_32_290.5",0.146985747592586,0.710185337123594
"6462","w_26_287.5",0.14675377172159,0.703818429400918
"7322","w_29_290",0.146418134297331,0.700665796755089
"6464","w_26_289.5",0.146231267707227,0.687786690198798
"6752","w_27_290",0.146002312761906,0.686019436918544
"6463","w_26_288.5",0.145904300463166,0.694096757433588
"5307","w_22_288.5",0.145674916728524,0.673055928196263
"8171","w_32_291.5",0.145403187605153,0.695258714655345
"7890","w_31_292",0.145311696057382,0.682427113304244
"7036","w_28_289.5",0.144899306256376,0.693809955531594
"5598","w_23_289",0.144777171696392,0.674436371097718
"6750","w_27_289",0.144769225024969,0.694037754295475
"7604","w_30_289.5",0.144547629384389,0.703894540553841
"8451","w_33_291",0.144208931367492,0.700851859120083
"8450","w_33_290",0.144118386099762,0.709421923831686
"6173","w_25_286",0.14407203984711,0.697868777550268
"8168","w_32_289.5",0.144027892438843,0.709818139611898
"5014","w_21_287",0.143659796364871,0.656239420409984
"6749","w_27_288",0.143400771153173,0.695544548036675
"6461","w_26_286.5",0.143335098604969,0.699532875014607
"6748","w_27_287",0.143165494304856,0.702680191488407
"7320","w_29_289",0.142865144252268,0.696488366969329
"4721","w_20_286.5",0.142814909931149,0.645474436278502
